Blog	four	looking	second	k	reports	brought	music	until	example	want	feature	machine	wrong	easier	series	service	needed	showed	project	person	tech	saying	result	lots	men	country	asked	chrome	much	pro	life	things	had	easy	possible	right	old	support	full	leave	team	alone	along	love	working	such	data	years	course	didn	internet	million	quite	open	city	future	san	turned	say	note	take	sale	ways	link	going	where	photos	former	technology	being	rest	around	world	power	industry	favorite	her	ad	am	having	original	tv	th	large	small	past	hours	november	social	via	company	learn	huge	its	always	found	really	research	major	number	sell	self	also	play	plan	sometimes	cover	set	see	movie	available	whole	community	read	recent	amp	readers	couple	d	continue	senate	anything	line	posted	us	ago	land	came	results	young	try	video	let	great	makes	tools	next	baby	challenge	process	high	move	doing	could	start	system	best	should	hope	means	stuff	email	etc	co	android	off	less	web	government	five	become	does	problem	monday	worth	told	word	work	network	created	another	john	away	com	voice	hand	photo	thanks	night	post	months	way	true	moore	face	test	update	together	p	guy	change	live	car	heard	write	product	still	non	half	space	shows	care	friend	than	online	america	only	between	article	comes	learning	these	media	thinking	real	early	using	business	aren	lot	trying	building	since	month	very	learned	family	ask	site	history	help	soon	actually	event	put	american	behind	clear	pretty	during	x	close	won	probably	else	look	while	guide	ready	game	step	within	doesn	e	youtube	go	facebook	michael	win	started	meet	control	links	including	hands	university	special	times	wikileaks	art	need	able	talk	based	she	both	party	well	lost	page	twitter	home	mdash	he	piece	star	stay	friends	lives	companies	likely	even	tips	ever	never	met	call	tell	room	give	amazing	answer	president	before	personal	better	weeks	went	side	mean	content	isn	features	matter	mind	seem	don	m	stop	bad	decided	said	against	appeared	three	website	make	opportunity	left	yes	yet	potential	save	deal	popular	super	down	drive	digital	billion	finally	me	did	run	box	making	may	man	maybe	nbsp	group	interesting	earlier	thing	think	little	anyone	were	especially	shot	show	black	morning	enough	reading	across	according	mark	those	many	then	different	same	running	money	videos	again	important	u	starting	public	search	published	two	hour	share	needs	through	late	good	someone	everyone	house	hard	members	done	least	part	believe	b	click	build	find	please	fans	point	simple	create	understand	bill	fun	itself	spend	big	bit	google	often	back	per	forward	others	later	private	account	la	ll	day	sexual	text	taking	general	center	thought	latest	add	success	happens	buy	minutes	sleep	under	every	street	would	phone	must	keep	end	over	writing	each	got	free	wanted	days	already	top	too	tom	took	talking	though	watch	amazon	report	however	news	experience	several	pick	election	everything	security	head	donald	longer	focus	roy	cool	level	posts	says	goes	water	iphone	today	local	trump	figure	information	happened	name	turn	place	coming	white	released	r	any	ideas	sure	state	college	review	come	case	events	week	without	seems	blog	idea	wife	follow	program	woman	song	far	list	ten	design	version	known	rather	short	might	wouldn	used	friday	feel	story	store	kind	finding	nothing	his	him	wrote	recently	york	c	became	questions	question	long	called	nice	users	once	include	deals	leaving	apple	app	use	few	women	tax	something	instead	light	looks	related	our	why	thousands	ones	words	view	stories	last	gets	percent	other	smart	know	press	james	because	getting	own	apps	made	whether	book
Schneier on Security	0	0	1	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	1	0	0	0	0	0	0	3	0	0	1	0	0	0	3	0	0	0	0	2	1	0	0	0	0	2	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	1	0	0	1	2	0	0	1	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	2	0	0	0	0	0	0	0	1	0	0	1	0	1	0	0	2	0	0	1	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	2	0	3	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	1	2	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	2	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	3	0	1	0	0	3	2	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	2	0	0	0	0	0	2	0	0	0	0	0	0	2	0	0	0	0	0	0	0	2	0	0	0	1	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	2	0	0	0	3	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	1	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	2	2	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	2	0	0	0	0	1	1	0	0	1	0	0	0	0	0	1	1	0	0	1	1	0	0	0	1	0	0	0	0	0	0
PaulStamatiou.com - Technology, Design and Photography	4	11	16	3	2	2	10	15	14	54	8	5	2	14	4	26	23	4	38	2	9	7	6	14	0	5	8	3	96	7	20	31	91	16	10	25	21	22	12	4	22	2	24	9	53	17	40	19	18	24	5	4	15	16	3	11	7	7	11	12	26	0	7	7	39	38	42	1	0	21	3	52	17	38	1	6	3	8	10	29	5	6	0	8	16	6	9	1	2	22	3	11	11	13	24	21	21	10	0	28	2	2	82	11	15	2	11	20	42	6	7	12	6	49	5	28	2	0	34	4	0	18	27	0	13	11	2	12	2	0	16	65	26	25	11	12	39	0	5	29	13	4	8	52	22	22	21	36	1	8	9	9	6	2	50	53	14	23	0	1	5	24	6	0	4	2	4	63	37	9	32	0	13	24	28	8	40	4	5	38	13	48	14	0	2	14	20	4	12	0	17	9	4	7	11	13	47	8	4	6	44	4	5	45	7	0	117	27	13	11	3	37	9	14	29	12	57	3	0	9	15	18	37	22	30	7	3	11	45	1	15	5	37	4	30	0	10	5	11	14	46	8	17	18	7	51	76	10	7	5	14	4	16	5	0	27	2	1	0	25	1	25	1	10	1	0	2	24	0	5	64	26	5	7	0	13	1	41	1	42	58	19	76	19	4	0	3	8	5	1	7	43	2	4	16	1	20	13	9	13	2	4	2	31	6	66	11	7	9	3	7	3	9	2	11	3	47	55	3	4	13	10	3	2	9	69	42	3	8	8	8	0	8	4	15	3	33	20	17	0	5	75	28	37	10	14	19	1	3	6	9	9	10	22	26	6	1	45	8	4	13	4	3	21	44	11	0	2	20	23	56	8	36	23	3	14	9	7	0	6	3	4	3	35	5	17	12	33	8	31	6	9	11	18	1	22	9	40	3	12	11	26	31	6	0	21	22	20	5	6	6	8	4	11	47	76	17	27	18	9	6	18	0	18	0	56	26	0	1	11	4	2	19	4	18	3	6	7	18	4	4	26	0	116	43	9	21	20	46	15	18	26	7	32	16	21	11	35	0	6	6	26	3	28	0	22	18	17	9	5	0	19	1	3	0	13	3	0	4	9	10	4	7	0	22	1	7	0	7	2	3	14	16	17	6	3	2	11	56	6	20	8	2	26	17	15	2	21	25	9	14	9	0	5	5	1	1	5	14	2	83	15	1	10	12	24	4	41	0	21	8	8	5	8	9	18	3	12	9	3	10	8	13	3	19	14	8	20	5	5	1	1	3	50	102	64	0	0	52	25	7	2	6	56	25	2	2	3	7	4	41	8	0	57	7	27	4	1	9	32	42	11	20	2	36
Search Engine Roundtable	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	1	0	0	0	0	0	0	3	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	3	0	0	3	0	0	2	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	2	1	0	0	1	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	2	0	0	1	0	0	0	2	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	3	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	2	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	2	0	0	1	0	0	0	0	0	1	0	0	0	2	0	0	0	0	0	0	0	1	0	1	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	1	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	1	3	0	0	0	0	0	1	1	0	0	11	1	1	0	0	0	2	0	0	0	0	0	1	0	0	0	0	0	2	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	17	2	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	3	3	0	0	1	3	3	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	3	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	1	0	0	0	0	3	0	0	1	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	2	0	0	0	0	1	1	0	0	0	0	0
We Make Money Not Art	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	3	1	0	1	1	0	0	0	0	0	1	0	0	0	1	0	1	0	0	2	0	0	0	0	1	0	1	0	0	0	0	1	0	0	0	0	0	2	0	0	2	0	0	0	0	0	0	0	0	1	0	0	0	0	2	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	1	0	0	0	0	1	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	1	1	0	0	0	0	0	2	0	0	0	0	1	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	2	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	2	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	1	1	0	1	0	0	1	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	2	0	1
Copyblogger	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	3	0	1	0	0	0	0	0	0	2	0	2	0	0	0	1	0	0	1	0	0	2	0	2	0	0	0	0	0	0	0	1	0	1	0	1	0	0	1	0	0	0	0	2	0	0	0	0	0	1	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	10	0	0	0	0	1	0	0	0	1	0	1	0	0	0	0	1	0	4	0	0	0	0	1	1	5	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	5	0	1	1	0	0	0	2	0	0	0	0	10	1	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	2	0	2	2	0	1	0	1	2	0	0	1	2	0	0	0	0	0	0	1	0	0	0	2	1	1	0	0	0	0	0	0	0	0	0	2	0	0	0	0	1	2	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	10	0	1	0	0	0	0	1	0	0	0	0	0	10	1	2	1	0	0	0	0	0	1	0	0	0	0	0	0	0	1	2	0	0	0	1	0	0	0	0	0	0	0	1	0	2	1	1	0	0	0	4	0	0	0	1	0	0	2	0	2	0	0	0	1	0	1	0	0	2	0	0	0	2	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	3	1	0	0	0	2	2	0	0	0	0	0	1	0	0	0	1	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	2	2	1	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	1	0	0	0	0	0	1	0	0	2	0	2	0	1	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	1	4	1	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	2	0	1	0	1	4	2	0	0	0	1	1	2	0	0	1	0	1	0	0	2	0	0	0	0	1	0
John Battelle's Search Blog	0	0	1	0	0	1	0	0	0	2	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	1	0	0	1	1	1	0	1	0	0	0	0	0	0	0	0	0	0	5	1	0	1	4	0	0	0	0	1	0	0	1	0	0	0	1	0	0	1	0	0	1	0	0	0	5	0	0	1	0	1	1	0	1	0	0	1	1	0	0	0	4	0	3	0	0	1	0	1	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	2	0	0	0	0	4	0	1	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	1	0	1	0	0	3	0	0	0	0	0	0	0	0	0	0	0	7	0	5	0	0	0	0	0	0	0	0	0	20	0	0	0	0	0	0	1	21	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	1	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	1	0	0	0	0	0	2	0	0	0	0	0	0	0	2	0	0	1	0	0	0	0	0	1	10	0	3	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	3	2	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	1	0	0	3	0	0	0	0	0	1	0	1	0	0	1	3	0	0	0	0	0	3	0	0	0	0	0	20	1	0	0	0	0	0	1	0	0	3	0	0	0	0	0	0	0	3	2	0	0	0	0	0	0	0	1	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	1	0	0	3	20	0	1	0	0	1	0	0	0	0	1	0	1	0	0	0	0	1	0	0	0	0	6	0	1	0	0	0	0	0	0	0	7	0	4	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	3	0	0	0	0	1	0	0	0	0	0	1	5	1	0	0	1	0	0	0	0	0	0	0	0	0	0	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	20	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	2	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	1	1	0	0	0	1	2	0	0	0	0	0	0	0	0	3	0	4	0	0	1	0	0	0	0	0	0
Engadget RSS Feed	0	0	0	0	1	0	0	1	0	2	0	0	0	1	2	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	1	0	1	1	0	0	0	0	0	0	1	1	0	2	0	0	2	1	0	1	0	0	2	0	0	1	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	3	0	0	1	0	1	0	1	5	0	0	8	0	1	0	0	0	0	0	1	1	1	0	1	1	1	0	0	0	0	1	0	0	4	0	1	1	0	0	0	0	0	3	1	1	0	0	0	1	4	1	0	2	0	1	0	0	0	2	0	0	0	1	2	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	1	1	0	0	1	1	0	4	1	0	0	0	0	0	1	0	0	0	1	0	0	0	2	0	1	0	0	2	0	1	1	0	0	1	0	0	0	1	0	0	0	4	0	3	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	1	0	0	0	0	1	0	1	2	0	0	2	0	0	1	0	0	1	1	0	3	3	0	1	3	0	0	0	0	3	0	5	0	0	0	0	1	1	2	2	0	0	0	0	0	1	0	0	0	0	1	0	1	0	1	0	1	0	0	0	3	0	1	0	2	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	1	1	1	0	0	1	1	0	1	0	0	0	1	0	0	0	2	0	1	0	2	0	0	0	2	0	0	0	0	0	2	0	0	2	0	1	2	0	0	0	1	0	1	0	0	1	0	1	1	0	3	0	2	0	0	1	0	1	0	0	0	0	0	1	0	2	0	0	1	0	0	1	0	1	1	0	0	2	0	2	0	0	0	0	0	0	0	1	0	0	1	3	0	0	3	0	1	0	0	4	0	0	0	0	0	4	0	2	0	1	0	0	0	0	0	0	2	0	0	0	1	1	0	2	0	0	0	0	0	3	0	0	0	1	0	0	0	1	3	0	0	0	2	0	0	1	0	0	0	0	0	1	3	0	0	0	1	1	2	0	1	0	0	0	0	0	5	0	0	0	0	0	0	0	1	3	0	1	0	0	0	0	1	1	1	0	0	1	1	0	0	1	0	0	0	0	0	2	0	0	0	1	0	0	1	0	0	2	0	0	1	2	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	1	1	0	0	0	1	2	0	1	0	0	0	0	3	1	1	0	0	0	1	1	0	2	0	1	0	0	0	0	0	1	4	0	0	0	3	2	0	0	0	1	1	0	1	1	2
TMZ.com	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	1	0	1	0	0	0	0	0	0	2	1	1	0	0	0	1	0	2	0	0	0	2	0	0	0	1	0	0	0	0	0	1	1	0	0	0	0	0	2	1	0	3	0	3	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	1	1	0	2	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	1	4	0	1	1	0	2	1	0	0	0	0	0	0	5	0	0	0	0	1	2	0	0	1	0	1	0	0	0	0	0	0	0	1	0	0	0	0	2	0	0	0	0	0	0	0	4	1	1	0	0	0	0	0	1	1	0	0	0	1	0	0	0	0	0	0	3	0	0	1	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	1	1	0	0	0	0	2	0	0	0	0	1	0	0	0	2	1	0	0	1	2	1	0	0	1	0	0	0	0	0	1	0	0	1	0	0	0	0	2	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	3	0	0	1	1	0	0	0	0	15	0	1	0	0	0	0	0	4	0	0	0	0	1	1	0	0	0	0	1	1	1	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	1	0	0	0	0	2	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	2	0	0	4	1	0	0	0	0	0	0	0	0	2	0	0	2	0	0	0	1	0	2	0	0	2	3	0	0	3	0	0	2	7	0	0	0	0	0	5	0	0	0	1	3	0	0	2	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	2	0	0	1	0	1	0	0	1	0	12	2	0	0	0	2	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	1	1	0	0	0	0	2	0	0	1	2	0	0	0	0	0
Wonkette	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	1	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	1	1	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
NewsBusters	3	0	2	1	0	1	0	0	1	2	0	0	1	1	0	0	0	2	0	0	0	0	1	0	2	4	5	0	2	0	1	2	6	1	0	4	2	0	2	1	0	0	0	0	0	3	0	4	0	4	1	0	0	0	0	0	1	1	1	0	3	2	1	2	2	4	0	7	0	5	2	0	4	0	0	0	11	0	1	0	0	1	0	0	1	4	0	9	1	1	0	0	0	5	1	0	1	0	0	1	0	0	1	1	2	0	1	0	3	0	1	0	1	0	1	3	0	0	1	0	3	0	0	0	0	1	0	3	0	2	1	0	1	1	1	0	0	1	0	0	0	1	1	0	0	0	1	4	0	1	0	0	1	6	0	2	1	1	0	1	0	2	1	8	0	2	4	0	1	0	0	2	1	0	0	0	0	0	1	1	1	1	1	16	0	0	0	0	107	3	5	2	0	0	0	0	3	0	0	0	0	0	0	4	0	7	8	3	0	2	0	2	24	0	3	3	1	1	1	0	1	1	4	0	0	0	3	0	0	3	1	0	3	0	3	1	0	1	2	6	1	0	2	0	2	1	6	0	0	2	1	0	1	1	1	0	2	2	2	0	1	1	0	1	0	2	0	7	0	0	0	0	4	0	6	3	4	2	0	2	3	2	2	22	1	3	1	1	1	0	1	3	0	2	7	0	0	0	0	1	3	4	20	0	1	0	0	0	2	0	0	1	0	2	0	0	4	4	3	2	0	3	7	1	0	0	3	0	4	2	2	0	1	1	2	2	1	0	0	0	1	2	4	2	0	4	1	2	0	26	2	1	0	1	1	3	0	8	0	3	11	1	8	2	1	0	2	0	3	2	3	0	6	4	2	0	3	2	5	0	1	0	1	3	0	0	0	1	0	3	2	0	3	1	2	0	0	1	4	3	0	0	1	0	0	3	0	0	1	11	1	1	0	5	2	0	0	3	0	0	1	1	0	0	10	0	1	5	0	0	1	0	0	1	0	0	1	0	2	0	1	1	0	3	0	1	2	0	7	0	1	2	2	0	4	1	0	2	3	2	3	0	1	0	5	0	5	1	0	0	3	0	0	1	3	0	0	10	0	1	0	2	0	0	0	5	1	24	0	0	0	0	1	0	1	6	1	4	3	1	1	0	0	2	1	1	1	4	2	1	1	1	0	0	0	1	2	2	0	1	0	1	2	2	0	0	1	5	3	0	3	0	0	1	0	20	5	0	1	4	1	1	2	2	1	3	0	0	2	0	0	0	0	0	0	1	7	4	1	1	0	0	0	4	5	0	0	0	1	0	5	2	2	7	0	1	4	0	1	5	3	0	3	4	2
